" I went to see a movie tonight. I cried, ""I can't stay, don't let me leave!"""," I went to see a movie tonight. I cried, "" I can't stay, don't let me leave! ""   "
 I met a girl this evening. She asked me if I'd meet her tomorrow at the party., I met a girl this evening. I asked her the same thing tomorrow at the party.  I see  that guy walking across the squar
 I took the bus home. It was ok., I took the bus home. People shouted at me the whole way home.
 I went to the store yesterday and bought a complete set of cassette tapes. I listened to them all., I went to the store yesterday and bought a complete set of cassette tapes. 
 I find a hidden tunnel for my kids' climbing rope., I find a hidden tunnel for my kids' climbing rope. The tunnel is always at least two steps deep.
" My dad tells me that if I do not pay the bill, it will become a lawsuit."," My dad tells me that if I do not pay the bill, it will become a lawsuit. After the idea of running out on my salary flies throug"
 I went to the bookstore and bought a paperback novel., I went to the bookstore and bought a paperback novel. There is a paperback book on the shelf.
" I searched for the word ""flask"" on the website."," I searched for the word ""flask"" in this book."
 I invited my classmate to go fishing. I let him go fishing., I invited my classmate to go fishing. The boat's gone.
 I was looking for books that I really needed at a very specific bookshop., I was looking for books that I really needed at a very specific bookshop. There were no books at the bookshop.
 My place of work was open until 2:00 PM. You left around 10:00 AM., My place of work was open until 2:00 PM. You left around 10:00 AM. 
 I practiced the saxophone so I could play the band. I'm glad I did it., I practiced the saxophone so I could play the band. I drowned.
 I did some typing. It was ok., I did some typing this morning. It cracked my typing fingers up.
 I built a snowman. It was great., I built a snowman. No snow has fallen in weeks.  The snowman took one of my steps and fell off.  
 I finished my homework after a two hour dinner., I finished my homework after a two hour dinner. My bed was too soft.
 There's a government job for me., There's a government job for me. I am not qualified for it.
 A hundred people danced at once. ," A hundred people danced at once. Despite my best attempts, it was a weak singing contest."
 I go to the dentist's office. I get the first one and enjoy it., I go to the dentist's office. I get a first-rate collection.
" I wrote an e-mail to the school counselor, saying that I was confused about what she wanted to talk about today."," I wrote an e-mail to the school counselor, saying that I was confused about what she wanted to talk about today. I typed in a helpfu"
" I went out to buy a map and compass. Unfortunately, I ran out of money.", I went out to buy a map and compass. I bought it and now I'm trying to find a map of the town. 
 I blew in the wind this morning. It was no problem.," I blew in the wind this morning. I got an appreciation for the breeze through the straw, and got to play on the sax."
 My father called the police. I didn't answer his phone. They took me to the police station and released me., My father called the police. I didn't answer his phone. They took me to the police station and released me. All the police told me wa
 We got a reprieve from the craziness of the sickle-cell anemia test., We got a reprieve from the craziness of the sickle-cell anemia test.
 I'm scared to walk to the windows to check the weather. I'm afraid I might fall over the edge., I'm scared to walk to the windows to check the weather. There is a frost on my windowpane.
" A new professor arrives and tells us about his struggles. There is a lot to learn, but there are also few to know. ", A new professor arrives and tells us about his struggles. I don't know anything about what she is talking about!
 I decided to leave lunch early. I can take the bus from my place to school., I decided to leave lunch early. I had to listen to the lecture twice. I could not focus on the class.
 I had a moment to ourselves., I had a moment to ourselves. 
 I bought cheap sweaters from the clothes shop. It was alright., I bought cheap sweaters from the clothes shop. I didn't wash it for almost an hour.
 I sat through a lecture by a professor I greatly admire. His teaching style is perfect., I sat through a lecture by a professor I greatly admire. His teaching style is imperfect. I watch a show together. It's my favourite.
 I was dining at a restaurant and was talking with some old ladies., I was dining at a restaurant and was talking with some old ladies. There are none left.
 I sold my dog. I'm going to be rich.," I sold my dog. I felt bad, so I cried."
 I at first loathed doing my dishes in the sink., I at first loathed doing my dishes in the sink. I gave the sink one last splash.
 My class played a track from the film The Sound of Music before the movie. , My class played a track from the film The Sound of Music before the movie. There are no track suites on the school system's video rental stores
 I watched a movie on the last day of summer vacation. , I watched a movie on the last day of summer vacation. There were no nice movies during the vacation.
 I went to see my brother for the first time this year., I went to see my brother for the first time this year.  
 I started studying for my exam with my teacher. It was a success., I started studying for my exam with my teacher and then collapsed when I saw that there was no exam.
" One morning, I was in a bar."," One morning, I was in a bar. I crashed the party."
 I went to the tennis court this afternoon. My students complimented my game. I'll do better next time.," I went to the tennis court this afternoon. Not to mention, it wasn't my fault."
 My mother and I took my daughter to check out the town., My mother and I took my daughter to check out the town. We get lost and lose her on the way.
 I did my homework for a class., I did my homework for a class. This assignment was harder than the last one
 I was stuck in traffic. I was unable to go anywhere., I was stuck in traffic. I brought along a grocery bag and a bag of burned goods.  I made it to the car and went to th
 I made my coffee this morning and no one wanted to drink it., I was sick this morning. I was not physically sick that morning.
 My apartment is made of cardboard so the water doesn't cool down., My apartment is made of cardboard so the water doesn't cool down. There is no water and even though it's hot my mouth aches.
 I helped my uncle with the paper. I'm pleased., I helped my uncle with the paper. I'm too proud to ask my uncle for help. I forget how to use a spoon.
